HumanGeneName	MouseGeneName
EFNB3	Efnb3
HOXA1	Hoxa1
JAG1	Jag1
PSAP	Psap
PSAPL1	Psapl1
PBX3	Pbx3
CALR3	Calr3
NKX2-5	Nkx2-5
EFNA2	Efna2
JAK2	Jak2
DUX1	Duxbl1
SNAP25	Snap25
HOXD13	Hoxd13
EPDR1	Epdr1
OR5K4	Olfr181
TRPC4AP	Trpc4ap
FGFR4	Fgfr4
GSK3B	Gsk3b
HOXC12	Hoxc12
PPM1B	Ppm1b
C3	C3
FZD1	Fzd1
GATD3	Gatd3a
PBX1	Pbx1
NIPSNAP1	Nipsnap1
CLNS1A	Clns1a
DLX2	Dlx2
ZFP36	Zfp36
ELAVL4	Elavl4
RARA	Rara
WT1	Wt1
CLDN1	Cldn1
POU4F3	Pou4f3
VARS1	Vars
RAX	Rax
NRAS	Nras
FZD4	Fzd4
MPP7	Mpp7
SMAD2	Smad2
CCND1	Ccnd1
NCCRP1	Nccrp1
PDX1	Pdx1
CSNK2A2	Csnk2a2
HOXC10	Hoxc10
COPG2	Copg2
COPG1	Copg1
HOXA5	Hoxa5
RRM2	Rrm2
WNT1	Wnt1
KHDRBS1	Khdrbs1
DLX3	Dlx3
SPON1	Spon1
CCNE1	Ccne1
EHMT2	Ehmt2
STAT1	Stat1
CLDN4	Cldn4
CASP3	Casp3
NANOS3	Nanos3
PTPRS	Ptprs
LACTB	Lactb
OR1E1	Olfr1
DDX4	Ddx4
LDB1	Ldb1
KIFC1	Kifc5b
HTT	Htt
TENM4	Tenm4
SEMA3A	Sema3a
COIL	Coil
NGF	Ngf
CSNK2A1	Csnk2a1
GJA8	Gja8
MDM2	Mdm2
HOXD9	Hoxd9
EYA1	Eya1
HSF1	Hsf1
FZD5	Fzd5
ZIC2	Zic2
HES7	Hes7
HOXC8	Hoxc8
EVX1	Evx1
CSNK2B	Csnk2b
PAX9	Pax9
RHEBL1	Rhebl1
RHEB	Rheb
CRY2	Cry2
FGF3	Fgf3
DLX1	Dlx1
DHFR	Dhfr
MMUT	Mmut
F7	F7
SFRP5	Sfrp5
ND4	mt-Nd4
CYTB	mt-Cytb
ATP1B2	Atp1b2
CCNA2	Ccna2
MTF1	Mtf1
ATP6AP1	Atp6ap1
RPL36A	Rpl36a
SCARB2	Scarb2
PPP1R10	Ppp1r10
SLC25A5	Slc25a5
SNRPC	Snrpc
TIMM23	Timm23
UXS1	Uxs1
KIF11	Kif11
IGF1R	Igf1r
VANGL2	Vangl2
CRYAA	Cryaa
GBX2	Gbx2
GPI	Gpi1
MAB21L2	Mab21l2
MAB21L1	Mab21l1
PTGS1	Ptgs1
AHR	Ahr
AZIN2	Azin2
ODC1	Odc1
EGR1	Egr1
DLL1	Dll1
SLIT3	Slit3
SOX3	Sox3
CLDN7	Cldn7
SKI	Ski
DVL3	Dvl3
MAX	Max
POU3F1	Pou3f1
FABP7	Fabp7
ACTC1	Actc1
PSEN1	Psen1
ALAS2	Alas2
NOTCH1	Notch1
COL11A2	Col11a2
SMAD4	Smad4
SEMA3D	Sema3d
NME1	Nme1
NME1-NME2	Nme2
GLRB	Glrb
SMAD1	Smad1
NGB	Ngb
ND6	mt-Nd6
CAT	Cat
FECH	Fech
CSE1L	Cse1l
RET	Ret
SOD1	Sod1
FEZF2	Fezf2
HOXD1	Hoxd1
APOE	Apoe
PCMT1	Pcmt1
PTCH2	Ptch2
DBH	Dbh
HBZ	Hba-x
SMN1	Smn1
RPA2	Rpa2
WNT8A	Wnt8a
MTNR1B	Mtnr1b
CDX4	Cdx4
SLC34A2	Slc34a2
NME3	Nme3
PYY	Pyy
OPRD1	Oprd1
NCAM2	Ncam2
MYL1	Myl1
WNT10A	Wnt10a
CDC25B	Cdc25b
CDC25C	Cdc25c
CDC25A	Cdc25a
NKX2-1	Nkx2-1
DMD	Dmd
PBX2	Pbx2
HOXA10	Hoxa10
GUCY2D	Gucy2e
XBP1	Xbp1
MYOD1	Myod1
JAK1	Jak1
DLX4	Dlx4
INHBB	Inhbb
RGL2	Rgl2
OR10J1	Olfr418
CDH11	Cdh11
PLA2G4A	Pla2g4a
SCN8A	Scn8a
PES1	Pes1
UROD	Urod
AXIN1	Axin1
TAL1	Tal1
NR4A2	Nr4a2
DNAJC3	Dnajc3
ANXA13	Anxa13
NFYA	Nfya
AANAT	Aanat
EFNB2	Efnb2
MEIS3	Meis3
TFE3	Tfe3
SMO	Smo
CEBPB	Cebpb
UBE4B	Ube4b
LHX1	Lhx1
SERPINH1	Serpinh1
HSP90AB1	Hsp90ab1
SRF	Srf
RXRB	Rxrb
EDNRB	Ednrb
STX1B	Stx1b
MYB	Myb
HOXB9	Hoxb9
INHBA	Inhba
LIMA1	Lima1
CTSL	Cts6
COPZ2	Copz2
GDF7	Gdf7
NEUROD2	Neurod2
WIF1	Wif1
PRPH2	Prph2
TPM1	Tpm1
EFNB1	Efnb1
ANGPT1	Angpt1
NCAM1	Ncam1
PRKCI	Prkci
COX2	mt-Co2
CYP1A1	Cyp1a1
CYP1A2	Cyp1a2
S1PR2	S1pr2
ADARB1	Adarb1
SIX4	Six4
CFC1	Cfc1
TDGF1	Tdgf1
NRF1	Nrf1
MCL1	Mcl1
LDHB	Ldhb
CDH1	Cdh1
MYL7	Myl7
RORC	Rorc
IHH	Ihh
DLX6	Dlx6
EOMES	Eomes
PTPN1	Ptpn1
SPTB	Sptb
MYF5	Myf5
HSPA8	Hspa8
SNAI1	Snai1
HES5	Hes5
BAG6	Bag6
EDN1	Edn1
ATP6	mt-Atp6
FADS2	Fads2
FADS3	Fads3
FADS2B	Fads2b
IGF2	Igf2
TNN	Tnn
ATP1B1	Atp1b1
FOXO3	Foxo3
SPON2	Spon2
RBP4	Rbp4
PTH2R	Pth2r
MAPK14	Mapk14
MTCH2	Mtch2
GCG	Gcg
BTG2	Btg2
HOXD11	Hoxd11
CHRD	Chrd
PSME1	Psme1
TENM3	Tenm3
RPLP0	Rplp0
NPY	Npy
DAZ1	Dazl
ARNTL2	Arntl2
FGFR3	Fgfr3
PCNA	Pcna
NEUROD1	Neurod1
BMPR1A	Bmpr1a
PTH1R	Pth1r
EN1	En1
IGF1	Igf1
ANGPTL3	Angptl3
GNAT3	Gnat3
GNAT2	Gnat2
ND1	mt-Nd1
CEBPG	Cebpg
MAFB	Mafb
BMPR1B	Bmpr1b
HBB	Hbb-bh2
HBE1	Hbb-y
MELK	Melk
POU3F2	Pou3f2
ATOH7	Atoh7
ETV5	Etv5
HLA-E	Gm11127
MR1	Mr1
FCGRT	Fcgrt
HLA-B	Gm8909
HLA-A	H2-D1
SLC3A2	Slc3a2
NDRG3	Ndrg3
TLE5	Tle5
CTNNB1	Ctnnb1
FOXD3	Foxd3
FST	Fst
EMX2	Emx2
MSX1	Msx1
ACTN3	Actn3
CELF3	Celf3
HSP90AA1	Hsp90aa1
TMOD4	Tmod4
LDHC	Ldhc
LDHAL6B	Ldhal6b
LDHA	Ldha
HOXA4	Hoxa4
MYH6	Myh6
MYH7	Myh7
SIRPB2	Gm5150
GJB1	Gjb1
GNAT1	Gnat1
ND5	mt-Nd5
WNT4	Wnt4
PDP2	Pdp2
ERH	Erh
NOG	Nog
CFB	Cfb
MEST	Mest
GAP43	Gap43
RUNX1	Runx1
LMO2	Lmo2
HOXA3	Hoxa3
IGF2BP3	Igf2bp3
MXI1	Mxi1
VSX1	Vsx1
EPHA4	Epha4
CDH4	Cdh4
ACVR1	Acvr1
PSME2	Psme2
VPS52	Vps52
CNMD	Cnmd
ANGPT2	Angpt2
CSF1R	Csf1r
GUCA1A	Guca1a
VIM	Vim
IRX3	Irx3
INA	Ina
OR4B1	Olfr142
OR10J3	Olfr218
OR4D10	Olfr1426
OR4N5	Olfr722
OR4P4	Olfr1180
OR4K2	Olfr730
OR1N1	Olfr351
OR1I1	Olfr1357
OR4C13	Olfr1204
OR4S2	Olfr1193
OR4D2	Olfr462
OR1S1	Olfr1496
OR1D2	Olfr412
OR4C12	Olfr1259
OR1P1	Olfr406
OR2A25	Olfr447
OR4C3	Olfr1264
OR1Q1	Olfr357
OR4Q3	Olfr735
OR2A5	Olfr448
OR1J4	Olfr350
OR2A2	Olfr437
OR1N2	Olfr354
OR10J5	Olfr16
OR6K2	Olfr420
OR13G1	Olfr309
OR4D6	Olfr1428
OR4E2	Olfr1509
OR4C11	Olfr1201
OR2A42	Olfr434
OR4C6	Olfr1189
OR4K1	Olfr728
OR4M1	Olfr734
OR1M1	Olfr24
OR1B1	Olfr362
OR1E2	Olfr376
OR1L4	Olfr365
OR4E1	Olfr1507
OR8D1	Olfr933
OR2A4	Olfr13
OR2A14	Olfr444
OR2A12	Olfr446
OR10Z1	Olfr419
ACVR1B	Acvr1b
ALCAM	Alcam
JUP	Jup
DCN	Dcn
TCF15	Tcf15
MEF2A	Mef2a
EBF2	Ebf2
PSEN2	Psen2
TIE1	Tie1
CTSD	Ctsd
HEY2	Hey2
GPR85	Gpr85
HTATIP2	Htatip2
LFNG	Lfng
IRX5	Irx5
NEUROG3	Neurog3
GPC4	Gpc4
PTK2	Ptk2
MKRN1	Mkrn1
MKRN3	Mkrn3
FABP3	Fabp3
DACH2	Dach2
TPI1	Tpi1
EEF1G	Eef1g
B3GAT3	B3gat3
ACTL6A	Actl6a
DTL	Dtl
MAK16	Mak16
MCM2	Mcm2
MCM7	Mcm7
NCBP2	Ncbp2
POLE2	Pole2
RPL35	Gm2000
RPS18	Rps18
SMC4	Smc4
SNRPD1	Snrpd1
TAF7L	Taf7l2
TAF7	Taf7
FLOT2	Flot2
PTGS2	Ptgs2
BIVM	Bivm
TCF3	Tcf3
FLT4	Flt4
GUCY2F	Gucy2f
FGF4	Fgf4
KIF23	Kif23
MYH2	Myh2
MYH8	Myh8
MYH4	Myh4
MYH1	Myh1
MYH3	Myh3
MYH13	Myh13
PTCH1	Ptch1
EPHA2	Epha2
CLOCK	Clock
CASP4	Casp4
DCT	Dct
BRD2	Brd2
TCF7L1	Tcf7l1
THRB	Thrb
MSTN	Mstn
CELF1	Celf1
DKK1	Dkk1
BDNF	Bdnf
RARG	Rarg
ATP1A2	Atp1a2
CTNNBIP1	Ctnnbip1
PTPRA	Ptpra
DMBX1	Dmbx1
TLX2	Tlx2
GATA4	Gata4
CYP26A1	Cyp26a1
S1PR1	S1pr1
MAF	Maf
PDGFRA	Pdgfra
PROX1	Prox1
TBX20	Tbx20
LMNB2	Lmnb2
FOXH1	Foxh1
COL2A1	Col2a1
HAND2	Hand2
ACVR2B	Acvr2b
GJA1	Gja1
LEF1	Lef1
QKI	Qki
GSK3A	Gsk3a
YBX1	Ybx1
YBX3	Ybx3
SIX2	Six2
ASCL2	Ascl2
ASCL1	Ascl1
BAD	Bad
PAX8	Pax8
NIPSNAP2	Nipsnap2
CEBPA	Cebpa
MAFA	Mafa
TBX6	Tbx6
DEDD2	Dedd2
ATP1B3	Atp1b3
NR1D2	Nr1d2
ISL1	Isl1
MYC	Myc
BMP7	Bmp7
TP53	Trp53
DAP	Dap
HES3	Hes3
CCNB1	Ccnb1
TBR1	Tbr1
MTMR2	Mtmr2
RAG2	Rag2
MTNR1A	Mtnr1a
H2AZ2	H2az2
CRX	Crx
FGFR1	Fgfr1
PSMB5	Psmb5
PSMB7	Psmb7
GSC	Gsc
CPA5	Cpa5
CPA1	Cpa1
FMR1	Fmr1
OAZ1	Oaz1
OAZ3	Oaz3
BBS2	Bbs2
MALT1	Malt1
CASK	Cask
HGD	Hgd
PLAGL2	Plagl2
P2RX4	P2rx4
MST1	Mst1
GSTP1	Gstp1
ESR1	Esr1
ELF4	Elf4
CERS4	Cers4
CERS2	Cers2
ADCYAP1	Adcyap1
CYP11A1	Cyp11a1
CYP2J2	Cyp2j5
ATP5MC2	Gm10175
ATP5MC3	Atp5g3
CXADR	Cxadr
RELN	Reln
HAS2	Has2
SIM1	Sim1
MYBL2	Mybl2
KRT5	Krt5
UGDH	Ugdh
KLF3	Klf3
HSF2	Hsf2
KLF1	Klf1
FOXA3	Foxa3
LHX5	Lhx5
DHH	Dhh
DLX5	Dlx5
WNT8B	Wnt8b
MYL11	Mylpf
TYRO3	Tyro3
NOS1	Nos1
ACAT2	Acat2
CDK5	Cdk5
FUT9	Fut9
TNNT3	Tnnt3
DNMT1	Dnmt1
KIT	Kit
GDF5	Gdf5
CPSF4	Cpsf4
CCL28	Ccl28
SEMA4D	Sema4d
TEK	Tek
DAXX	Daxx
ARX	Arx
TRAM1	Tram1
TRAM1L1	Tram1l1
TLX3	Tlx3
TLX1	Tlx1
NEO1	Neo1
CKB	Ckb
SDC2	Sdc2
MCM5	Mcm5
SEBOX	Sebox
ESR2	Esr2
AZIN1	Azin1
TTK	Ttk
NFE2	Nfe2
ROCK2	Rock2
MPZ	Mpz
SMAD7	Smad7
EPB41	Epb41
SUPT6H	Supt6
RAPSN	Rapsn
CHRM2	Chrm2
OPN4	Opn4
LMO4	Lmo4
TPH1	Tph1
NKX3-2	Nkx3-2
SALL3	Sall3
SALL1	Sall1
NMRK2	Nmrk2
MIB1	Mib1
NPAS2	Npas2
WNT10B	Wnt10b
KRT18	Krt18
KRT80	Krt80
ZDHHC8	Zdhhc8
OXT	Oxt
AVP	Avp
CNTN1	Cntn1
TXNRD3	Txnrd3
MCHR1	Mchr1
MC5R	Mc5r
PRL	Prl
TSHB	Tshb
POMC	Pomc
NRARP	Nrarp
NRP1	Nrp1
MYL4	Myl4
TNNC1	Tnnc1
PBK	Pbk
ACTB	Actb
ACTG1	Actg1
ST8SIA2	St8sia2
ACVRL1	Acvrl1
LMO1	Lmo1
HAS3	Has3
ALDH3B1	Aldh3b1
ALDH3B2	Aldh3b2
F10	F10
HSPD1	Hspd1
DDX55	Ddx55
THBS3	Thbs3
SDAD1	Sdad1
THBS4	Thbs4
MED29	Med29
UTP25	Utp25
ARL13B	Arl13b
C1orf109	9930104L06Rik
ATP6V1H	Atp6v1h
PHF5A	Phf5a
DDX54	Ddx54
DMRT3	Dmrt3
INTS7	Ints7
DAG1	Dag1
MC4R	Mc4r
LAMC1	Lamc1
IGFBP1	Igfbp1
TSR2	Tsr2
WDR43	Wdr43
NIFK	Nifk
TTC27	Ttc27
ZCCHC7	Zcchc7
CHRNB3	Chrnb3
OMP	Omp
PHEX	Phex
RUVBL2	Ruvbl2
RUVBL1	Ruvbl1
LAMB1	Lamb1
CXCL12	Cxcl12
GLI1	Gli1
OLIG2	Olig2
FGFR2	Fgfr2
SUPT5H	Supt5
SP5	Sp5
MC1R	Mc1r
MC2R	Mc2r
MC3R	Mc3r
DTX1	Dtx1
ATP1A3	Atp1a3
IRX1	Irx1
COX3	mt-Co3
ROBO2	Robo2
CNTN2	Cntn2
SMARCA4	Smarca4
FOXI1	Foxi1
MITF	Mitf
TIMP2	Timp2
DUSP6	Dusp6
TGFBR2	Tgfbr2
TGFB1	Tgfb1
HIC2	Hic2
PTN	Ptn
ANXA1	Anxa1
ANXA2	Anxa2
FGF18	Fgf18
SERPINC1	Serpinc1
F9	F9
ELK4	Elk4
SND1	Snd1
FGF10	Fgf10
WNT2B	Wnt2b
SLC26A5	Slc26a5
CRABP2	Crabp2
VSX2	Vsx2
CRABP1	Crabp1
GLUL	Glul
DIXDC1	Dixdc1
MX1	Mx2
MSGN1	Msgn1
MAPK1	Mapk1
KEAP1	Keap1
DCP1A	Dcp1a
NFE2L2	Nfe2l2
SGCE	Sgce
PENK	Penk
SCFD1	Scfd1
NEUROD4	Neurod4
SESTD1	Sestd1
PRICKLE1	Prickle1
TCF7L2	Tcf7l2
MGA	Mga
PIWIL1	Piwil1
BDKRB1	Bdkrb1
TP73	Trp73
TMEM35A	Tmem35a
DRD2	Drd2
DRD3	Drd3
TNR	Tnr
CD99L2	Cd99l2
ZAR1	Zar1
TP63	Trp63
STAT5A	Stat5a
STAT5B	Stat5b
KIF1B	Kif1b
HNF4A	Hnf4a
XPO6	Xpo6
ARPC5	Arpc5
TSHZ1	Tshz1
TGFB2	Tgfb2
TGFB3	Tgfb3
ALDOB	Aldob
ALDOC	Aldoc
ESRRG	Esrrg
ESRRB	Esrrb
RBM38	Rbm38
HES6	Hes6
MKNK2	Mknk2
BTBD2	Btbd2
CDH17	Cdh17
GJD2	Gjd2
DAAM1	Daam1
PRPS1L1	Prps1l1
PRPS2	Prps2
PRPS1	Prps1l3
DISP1	Disp1
CALCOCO1	Calcoco1
ATF2	Atf2
GREM2	Grem2
SBF2	Sbf2
AAAS	Aaas
ANKH	Ank
FBXL3	Fbxl3
DHCR7	Dhcr7
HCFC1	Hcfc1
USP16	Usp16
BMP8B	Bmp8b
BMP8A	Bmp8a
HNRNPA1	Hnrnpa1
HDLBP	Gm382
ANKRD6	Ankrd6
EGFR	Egfr
PDGFA	Pdgfa
PDIA6	Pdia6
IGHM	Ighm
RPN1	Rpn1
GAD2	Gad2
FYN	Fyn
VPS13A	Vps13a
TBX1	Tbx1
MTR	Mtr
SH3GL1	Sh3gl1
SPI1	Spi1
HSP90B1	Hsp90b1
MMP2	Mmp2
AGT	Agt
TFDP2	Tfdp2
OTUD5	Otud5
GPR161	Gpr161
CTNND2	Ctnnd2
NCOR2	Ncor2
ECHS1	Echs1
MTDH	Mtdh
SPRY4	Spry4
PCGF1	Pcgf1
LBX2	Lbx2
BRMS1	Brms1
ATAD1	Atad1
DLGAP1	Dlgap1
GRIA3	Gria3
PDC	Pdc
SLC1A4	Slc1a4
SERTAD2	Sertad2
IARS2	Iars2
PPP1CB	Ppp1cb
PRMT5	Prmt5
HOMEZ	Homez
AP1G2	Ap1g2
SCRIB	Scrib
HTR5A	Htr5a
GAS2	Gas2
C14orf119	1700123O20Rik
CENPN	Cenpn
CMC2	Cmc2
G2E3	G2e3
COCH	Coch
STRN3	Strn3
TRIO	Trio
RSU1	Rsu1
LTK	Ltk
ITSN1	Itsn1
PMS1	Pms1
ORMDL1	Ormdl1
ADAT3	Adat3
OSGEPL1	Osgepl1
ASNSD1	Asnsd1
LAD1	Lad1
KPNA3	Kpna3
TMEM267	Tmem267
GLS	Gls
EPB41L5	Epb41l5
PATJ	Patj
TUBGCP3	Tubgcp3
CCDC157	Ccdc157
POLD2	Pold2
PQBP1	Pqbp1
GPKOW	Gpkow
HEATR5A	Heatr5a
ERBB3	Erbb3
PA2G4	Pa2g4
MAP4K2	Map4k2
VAT1	Vat1
RND2	Rnd2
MIS18BP1	Mis18bp1
SLC4A1	Slc4a1
UBTF	Ubtf
UBTFL1	Ubtfl1
ATXN7L3	Atxn7l3
TMUB2	Tmub2
ASB16	Asb16
KLHL6	Klhl6
ARF3	Arf3
GRK3	Grk3
GRK2	Grk2
CACNA1F	Cacna1f
SYP	Syp
DNAH6	Dnah6
