GeneName	MGI_id	FeatureType	HumanGeneName
Ctnna1	MGI:88274	Gene	CTNNA1
Ctnna2	MGI:88275	Gene	CTNNA2
Ctnnb1	MGI:88276	Gene	CTNNB1
Serpina6	MGI:88278	Gene	SERPINA6
Cbl	MGI:88279	Gene	CBL
Cbln1	MGI:88281	Gene	CBLN1
Cbln2	MGI:88282	Gene	CBLN2
Serpinh1	MGI:88283	Gene	SERPINH1
Cbr1	MGI:88284	Gene	CBR1
Cbs	MGI:88285	Gene	CBS
Cbx2	MGI:88289	Gene	CBX2
Cacna1d	MGI:88293	Gene	CACNA1D
Cacna1s	MGI:88294	Gene	CACNA1S
Cacna2d1	MGI:88295	Gene	CACNA2D1
Cacna1b	MGI:88296	Gene	CACNA1B
Cck	MGI:88297	Gene	CCK
Ccnb1	MGI:88302	Gene	CCNB1
Ccnb2	MGI:88311	Gene	CCNB2
Ccnd1	MGI:88313	Gene	CCND1
Ccnd2	MGI:88314	Gene	CCND2
Ccnd3	MGI:88315	Gene	CCND3
Ccne1	MGI:88316	Gene	CCNE1
Cd14	MGI:88318	Gene	CD14
Cd19	MGI:88319	Gene	CD19
Cd2	MGI:88320	Gene	CD2
Ms4a1	MGI:88321	Gene	MS4A1
Cd22	MGI:88322	Gene	CD22
Cd24a	MGI:88323	Gene	CD24
Cd27	MGI:88326	Gene	CD27
Cd28	MGI:88327	Gene	CD28
Tnfsf8	MGI:88328	Gene	TNFSF8
Cd34	MGI:88329	Gene	CD34
Cd37	MGI:88330	Gene	CD37
Cd3d	MGI:88331	Gene	CD3D
Cd3e	MGI:88332	Gene	CD3E
Cd3g	MGI:88333	Gene	CD3G
Cd247	MGI:88334	Gene	CD247
Cd4	MGI:88335	Gene	CD4
Cd40	MGI:88336	Gene	CD40
Cd40lg	MGI:88337	Gene	CD40LG
Cd44	MGI:88338	Gene	CD44
Cd48	MGI:88339	Gene	CD48
Cd5	MGI:88340	Gene	CD5
Cd53	MGI:88341	Gene	CD53
Cd68	MGI:88342	Gene	CD68
Cd69	MGI:88343	Gene	CD69
Cd7	MGI:88344	Gene	CD7
Cd72	MGI:88345	Gene	CD72
Cd8a	MGI:88346	Gene	CD8A
Cd8b1	MGI:88347	Gene	CD8B
Cd9	MGI:88348	Gene	CD9
Cdc25c	MGI:88350	Gene	CDC25C
Cdk1	MGI:88351	Gene	CDK1
Cdk11b	MGI:88353	Gene	CDK11A
Cdh1	MGI:88354	Gene	CDH1
Cdh2	MGI:88355	Gene	CDH2
Cdh3	MGI:88356	Gene	CDH3
Cdk4	MGI:88357	Gene	CDK4
Cdr1	MGI:88359	Gene	CDR1
Cdx1	MGI:88360	Gene	CDX1
Cdx2	MGI:88361	Gene	CDX2
Cdx4	MGI:88362	Gene	CDX4
Cebpb	MGI:88373	Gene	CEBPB
Cel	MGI:88374	Gene	CEL
Cenpa	MGI:88375	Gene	CENPA
Cenpb	MGI:88376	Gene	CENPB
Ces1g	MGI:88378	Gene	CES1
F13b	MGI:88379	Gene	F13B
F2	MGI:88380	Gene	F2
F3	MGI:88381	Gene	F3
F5	MGI:88382	Gene	F5
F8	MGI:88383	Gene	F8
F9	MGI:88384	Gene	F9
Cfh	MGI:88385	Gene	CFH
Cftr	MGI:88388	Gene	CFTR
Cga	MGI:88390	Gene	CGA
Chat	MGI:88392	Gene	CHAT
Chd1	MGI:88393	Gene	CHD1
Chga	MGI:88394	Gene	CHGA
Chgb	MGI:88395	Gene	CHGB
Chrm1	MGI:88396	Gene	CHRM1
Chrm2	MGI:88397	Gene	CHRM2
Chrm3	MGI:88398	Gene	CHRM3
Chrm4	MGI:88399	Gene	CHRM4
Vsx2	MGI:88401	Gene	VSX2
Ckb-ps2	MGI:88404	Pseudogene	
Ck-ps3	MGI:88406	Pseudogene	
Ckb	MGI:88407	Gene	CKB
Ckm	MGI:88413	Gene	CKM
Clcn1	MGI:88417	Gene	CLCN1
Clps	MGI:88421	Gene	CLPS
Clu	MGI:88423	Gene	CLU
Cma2	MGI:88426	Gene	
Cnbp	MGI:88431	Gene	CNBP
Cnga1	MGI:88436	Gene	CNGA1
Cnp	MGI:88437	Gene	CNP
Cntf	MGI:88439	Gene	CNTF
Col10a1	MGI:88445	Gene	COL10A1
Col11a1	MGI:88446	Gene	COL11A1
Col11a2	MGI:88447	Gene	COL11A2
Col12a1	MGI:88448	Gene	COL12A1
Col15a1	MGI:88449	Gene	COL15A1
Col17a1	MGI:88450	Gene	COL17A1
Col18a1	MGI:88451	Gene	COL18A1
Col2a1	MGI:88452	Gene	COL2A1
Col3a1	MGI:88453	Gene	COL3A1
Col4a1	MGI:88454	Gene	COL4A1
Col4a2	MGI:88455	Gene	COL4A2
Col4a5	MGI:88456	Gene	COL4A5
Col5a1	MGI:88457	Gene	COL5A1
Col5a2	MGI:88458	Gene	COL5A2
Col6a1	MGI:88459	Gene	COL6A1
Col6a2	MGI:88460	Gene	COL6A2
Col6a3	MGI:88461	Gene	COL6A3
Col7a1	MGI:88462	Gene	COL7A1
Col8a1	MGI:88463	Gene	COL8A1
Col8a2	MGI:88464	Gene	COL8A2
Col9a1	MGI:88465	Gene	COL9A1
Col9a2	MGI:88466	Gene	COL9A2
Col1a1	MGI:88467	Gene	COL1A1
Col1a2	MGI:88468	Gene	COL1A2
Comp	MGI:88469	Gene	COMP
Comt	MGI:88470	Gene	COMT
Cox4i1	MGI:88473	Gene	COX4I1
Cox5a	MGI:88474	Gene	COX5A
Cox5b	MGI:88475	Gene	COX5B
Cp	MGI:88476	Gene	CP
Cpa1	MGI:88478	Gene	CPA1
Cpa3	MGI:88479	Gene	CPA3
Cpz	MGI:88487	Gene	CPZ
Cr2	MGI:88489	Gene	CR2
Crabp1	MGI:88490	Gene	CRABP1
Crabp2	MGI:88491	Gene	CRABP2
Masp1	MGI:88492	Gene	MASP1
Creb1	MGI:88494	Gene	CREB1
Crem	MGI:88495	Gene	CREM
Crh	MGI:88496	Gene	CRH
Crhbp	MGI:88497	Gene	CRHBP
Crhr1	MGI:88498	Gene	CRHR1
Crip1	MGI:88501	Gene	CRIP1
Crk	MGI:88508	Gene	CRK
Crp	MGI:88512	Gene	CRP
Cr1l	MGI:88513	Gene	CR1
Crry-ps	MGI:88514	Pseudogene	
Cryaa	MGI:88515	Gene	CRYAA
Cryab	MGI:88516	Gene	CRYAB
Cryba1	MGI:88518	Gene	CRYBA1
Crybb2	MGI:88519	Gene	CRYBB2
Cryga	MGI:88521	Gene	CRYGA
Crygb	MGI:88522	Gene	CRYGB
Crygc	MGI:88523	Gene	CRYGC
Crygd	MGI:88524	Gene	CRYGD
Cryge	MGI:88525	Gene	CRYGD
Crygf	MGI:88526	Gene	CRYGD
Cryz	MGI:88527	Gene	CRYZ
Cs	MGI:88529	Gene	CS
Csk	MGI:88537	Gene	CSK
Csn1s1	MGI:88540	Gene	CSN1S1
Csn2	MGI:88541	Gene	CSN2
Csn1s2a	MGI:88542	Gene	CSN1S2AP
Csnk2a1	MGI:88543	Gene	CSNK2A1
Csnk2a1-ps1	MGI:88544	Pseudogene	
Csnk2a1-ps2	MGI:88545	Pseudogene	
Csnk2a2	MGI:88547	Gene	CSNK2A2
Csnk2b	MGI:88548	Gene	CSNK2B
Csrp1	MGI:88549	Gene	CSRP1
Ctla2a	MGI:88554	Gene	
Ctla2b	MGI:88555	Gene	
Ctla4	MGI:88556	Gene	CTLA4
Pcyt1a	MGI:88557	Gene	PCYT1A
Ctrl	MGI:88558	Gene	CTRL
Ctrb1	MGI:88559	Gene	CTRB1
Ctsb	MGI:88561	Gene	CTSB
Ctsd	MGI:88562	Gene	CTSD
Ctsg	MGI:88563	Gene	CTSG
Ctsl	MGI:88564	Gene	CTSL
Ctxn1	MGI:88566	Gene	CTXN1
Cux1	MGI:88568	Gene	CUX1
Cybb	MGI:88574	Gene	CYBB
Cycs	MGI:88578	Gene	CYCS
Cyct	MGI:88579	Gene	CYCTP
Cyp11a1	MGI:88582	Gene	CYP11A1
Cyp11b1	MGI:88583	Gene	CYP11B1
Cyp11b2	MGI:88584	Gene	CYP11B1
Cyp17a1	MGI:88586	Gene	CYP17A1
Cyp19a1	MGI:88587	Gene	CYP19A1
Cyp1a1	MGI:88588	Gene	CYP1A1
Cyp1a2	MGI:88589	Gene	CYP1A2
Cyp1b1	MGI:88590	Gene	CYP1B1
Cyp21a1	MGI:88591	Gene	CYP21A1P
Cyp24a1	MGI:88593	Gene	CYP24A1
Cyp27a1	MGI:88594	Gene	CYP27A1
Cyp2a4	MGI:88596	Gene	CYP2A13
Cyp2a5	MGI:88597	Gene	CYP2A13
Cyp2b10	MGI:88598	Gene	CYP2B6
Cyp2b13	MGI:88599	Gene	CYP2B6
Cyp2b9	MGI:88600	Gene	CYP2B6
Cyp2d10	MGI:88602	Gene	CYP2D6
Cyp2d11	MGI:88603	Gene	CYP2D6
Cyp2d12	MGI:88604	Gene	CYP2D6
Cyp2d13	MGI:88605	Pseudogene	
Cyp2d9	MGI:88606	Gene	CYP2D6
Cyp2e1	MGI:88607	Gene	CYP2E1
Cyp2f2	MGI:88608	Gene	CYP2F1
Cyp3a11	MGI:88609	Gene	CYP3A4
Cyp3a13	MGI:88610	Gene	CYP3A4
Cyp4a10	MGI:88611	Gene	CYP4A11
Cyp4a12a	MGI:88612	Gene	CYP4A11
Ccn1	MGI:88613	Gene	CCN1
Reep3	MGI:88930	Gene	REEP3
Apon	MGI:88931	Gene	APONP
Dcaf11	MGI:90168	Gene	DCAF11
Dhrs4	MGI:90169	Gene	DHRS4
D17H6S53E	MGI:90673	Gene	C6orf47
Vars	MGI:90675	Gene	VARS1
Lsm2	MGI:90676	Gene	LSM2
D1Pas1	MGI:91842	Gene	DDX3X
Dcaf8	MGI:91860	Gene	DCAF8
Csde1	MGI:92356	Gene	CSDE1
Serp1	MGI:92638	Gene	SERP1
Adipor2	MGI:93830	Gene	ADIPOR2
Lrrc32	MGI:93882	Gene	LRRC32
Nudt19	MGI:94203	Gene	NUDT19
Oaf	MGI:94852	Gene	OAF
Dao	MGI:94859	Gene	DAO
Ppp1r1b	MGI:94860	Gene	PPP1R1B
Slc6a3	MGI:94862	Gene	SLC6A3
Dbh	MGI:94864	Gene	DBH
Dbi	MGI:94865	Gene	DBI
Dbp	MGI:94866	Gene	DBP
Dbx1	MGI:94867	Gene	DBX1
Dcc	MGI:94869	Gene	DCC
Eci1	MGI:94871	Gene	ECI1
Dcn	MGI:94872	Gene	DCN
Pcbd1	MGI:94873	Gene	PCBD1
Ddc	MGI:94876	Gene	DDC
Defa29	MGI:94881	Gene	DEFA1B
Defa2	MGI:94882	Gene	DEFA1B
Defa3	MGI:94883	Gene	DEFA1
Des	MGI:94885	Gene	DES
Dhfr	MGI:94890	Gene	DHFR
Dhh	MGI:94891	Gene	DHH
Cyb5r3	MGI:94893	Gene	CYB5R3
Dio1	MGI:94896	Gene	DIO1
Dlk1	MGI:94900	Gene	DLK1
Dlx1	MGI:94901	Gene	DLX1
Dlx2	MGI:94902	Gene	DLX2
Dlx3	MGI:94903	Gene	DLX3
Dlx4	MGI:94904	Gene	DLX4
Dmpk	MGI:94906	Gene	DMPK
Dmwd	MGI:94907	Gene	DMWD
Dmd	MGI:94909	Gene	DMD
Dmp1	MGI:94910	Gene	DMP1
Dnmt1	MGI:94912	Gene	DNMT1
Dpep1	MGI:94917	Gene	DPEP1
Dpp4	MGI:94919	Gene	DPP4
Dpp6	MGI:94921	Gene	DPP6
Drd2	MGI:94924	Gene	DRD2
Drd3	MGI:94925	Gene	DRD3
Drd4	MGI:94926	Gene	DRD4
Drd5	MGI:94927	Gene	DRD5
Dsg1a	MGI:94930	Gene	DSG1
Dvl1	MGI:94941	Gene	DVL1
Slc10a3	MGI:95048	Gene	SLC10A3
Ubl4a	MGI:95049	Gene	UBL4A
Ebf1	MGI:95275	Gene	EBF1
Epha7	MGI:95276	Gene	EPHA7
Epha2	MGI:95278	Gene	EPHA2
Ect2	MGI:95281	Gene	ECT2
Edn1	MGI:95283	Gene	EDN1
Edn2	MGI:95284	Gene	EDN2
Edn3	MGI:95285	Gene	EDN3
Eed	MGI:95286	Gene	EED
Eef2	MGI:95288	Gene	EEF2
Egf	MGI:95290	Gene	EGF
Klk1b22	MGI:95291	Gene	KLK1
Klk1b9	MGI:95293	Gene	KLK1
Egfr	MGI:95294	Gene	EGFR
Egr1	MGI:95295	Gene	EGR1
Egr2	MGI:95296	Gene	EGR2
Eif1a	MGI:95298	Gene	EIF1AY
Eif2s1	MGI:95299	Gene	EIF2S1
Eif2b4	MGI:95300	Gene	EIF2B4
Eif3a	MGI:95301	Gene	EIF3A
Eif4a1	MGI:95303	Gene	EIF4A1
Eif4b	MGI:95304	Gene	EIF4B
Eif4e	MGI:95305	Gene	EIF4E
Eif5	MGI:95309	Gene	EIF5
Cela1	MGI:95314	Gene	CELA1
Cela2a	MGI:95316	Gene	CELA2A
Eln	MGI:95317	Gene	ELN
Emb	MGI:95321	Gene	EMB
Emx1	MGI:95387	Gene	EMX1
Emx2	MGI:95388	Gene	EMX2
En1	MGI:95389	Gene	EN1
En2	MGI:95390	Gene	EN2
Eng	MGI:95392	Gene	ENG
Eno1	MGI:95393	Gene	ENO1
Eno2	MGI:95394	Gene	ENO2
Eno3	MGI:95395	Gene	ENO3
Epb41	MGI:95401	Gene	EPB41
Epb42	MGI:95402	Gene	EPB42
Stom	MGI:95403	Gene	STOM
Ephx1	MGI:95405	Gene	EPHX1
Epo	MGI:95407	Gene	EPO
Epor	MGI:95408	Gene	EPOR
Erbb2	MGI:95410	Gene	ERBB2
Erbb3	MGI:95411	Gene	ERBB3
Ercc1	MGI:95412	Gene	ERCC1
Ercc2	MGI:95413	Gene	ERCC2
Ercc3	MGI:95414	Gene	ERCC3
Erg	MGI:95415	Gene	ERG
Ces1c	MGI:95420	Gene	CES1
Esd	MGI:95421	Gene	ESD
Ces1e	MGI:95432	Gene	CES1
Smarcad1	MGI:95453	Gene	SMARCAD1
Etl4	MGI:95454	Gene	KIAA1217
Ets1	MGI:95455	Gene	ETS1
Ets2	MGI:95456	Gene	ETS2
Mecom	MGI:95457	Gene	MECOM
Evi2a	MGI:95458	Gene	EVI2A
Zfp521	MGI:95459	Gene	ZNF521
Evx1	MGI:95461	Gene	EVX1
Evx2	MGI:95462	Gene	EVX2
F8a	MGI:95474	Gene	F8A1
Fabp3	MGI:95476	Gene	FABP3
Fabp2	MGI:95478	Gene	FABP2
Fabp1	MGI:95479	Gene	FABP1
Fancc	MGI:95480	Gene	FANCC
Ptk2	MGI:95481	Gene	PTK2
Fah	MGI:95482	Gene	FAH
Fas	MGI:95484	Gene	FAS
Fasn	MGI:95485	Gene	FASN
Fbl	MGI:95486	Gene	FBL
Fbln1	MGI:95487	Gene	FBLN1
Fbln2	MGI:95488	Gene	FBLN2
Fbn1	MGI:95489	Gene	FBN1
Fbn2	MGI:95490	Gene	FBN2
Fbp2	MGI:95491	Gene	FBP2
Fbp1	MGI:95492	Gene	FBP1
Fcer1a	MGI:95494	Gene	FCER1A
Ms4a2	MGI:95495	Gene	MS4A2
Fcer1g	MGI:95496	Gene	FCER1G
Fcer2a	MGI:95497	Gene	FCER2
Fcgr1	MGI:95498	Gene	FCGR1A
Fcgr2b	MGI:95499	Gene	FCGR2A
Fcgr3	MGI:95500	Gene	FCGR2A
Fech	MGI:95513	Gene	FECH
Fes	MGI:95514	Gene	FES
Fgf1	MGI:95515	Gene	FGF1
Fgf2	MGI:95516	Gene	FGF2
Fgf3	MGI:95517	Gene	FGF3
Fgf4	MGI:95518	Gene	FGF4
Fgf5	MGI:95519	Gene	FGF5
Fgf6	MGI:95520	Gene	FGF6
Fgf7	MGI:95521	Gene	FGF7
Fgfr1	MGI:95522	Gene	FGFR1
Fgfr2	MGI:95523	Gene	FGFR2
Fgfr3	MGI:95524	Gene	FGFR3
Fgfr4	MGI:95525	Gene	FGFR4
Fgg	MGI:95526	Gene	FGG
Fgr	MGI:95527	Gene	FGR
Fh1	MGI:95530	Gene	FH
Ccn2	MGI:95537	Gene	CCN2
Fkbp1a	MGI:95541	Gene	FKBP1A
Fkbp2	MGI:95542	Gene	FKBP2
Fkbp4	MGI:95543	Gene	FKBP4
Foxs1	MGI:95546	Gene	FOXS1
Flg	MGI:95553	Gene	
Fli1	MGI:95554	Gene	FLI1
Flna	MGI:95556	Gene	FLNA
Flnc	MGI:95557	Gene	FLNC
Flt1	MGI:95558	Gene	FLT1
Flt3	MGI:95559	Gene	FLT3
Flt3l	MGI:95560	Gene	FLT3LG
Flt4	MGI:95561	Gene	FLT4
Fmr1	MGI:95564	Gene	FMR1
Fn1	MGI:95566	Gene	FN1
Folr1	MGI:95568	Gene	FOLR1
Folr2	MGI:95569	Gene	FOLR2
Fos	MGI:95574	Gene	FOS
Fosb	MGI:95575	Gene	FOSB
Fpgs	MGI:95576	Gene	FPGS
Fshb	MGI:95582	Gene	FSHB
Fshr	MGI:95583	Gene	FSHR
Cidec	MGI:95585	Gene	CIDEC
Fst	MGI:95586	Gene	FST
Fth1	MGI:95588	Gene	FTH1
Ftl1	MGI:95589	Gene	FTL
Ftl2-ps	MGI:95590	Pseudogene	FTL
Fuca1	MGI:95593	Gene	FUCA1
Fut4	MGI:95594	Gene	FUT4
Fv1	MGI:95595	Gene	
Fyn	MGI:95602	Gene	FYN
Xrcc6	MGI:95606	Gene	XRCC6
G6pc	MGI:95607	Gene	G6PC1
Gaa	MGI:95609	Gene	GAA
Gabpa	MGI:95610	Gene	GABPA
Gabpb1	MGI:95611	Gene	GABPB1
Gabpb2	MGI:95612	Gene	GABPB2
Gabra1	MGI:95613	Gene	GABRA1
Gabra2	MGI:95614	Gene	GABRA2
Gabra3	MGI:95615	Gene	GABRA3
Gabra4	MGI:95616	Gene	GABRA4
Gabra5	MGI:95617	Gene	GABRA5
Gabra6	MGI:95618	Gene	GABRA6
Gabrb1	MGI:95619	Gene	GABRB1
Gabrb2	MGI:95620	Gene	GABRB2
Gabrb3	MGI:95621	Gene	GABRB3
Gabrd	MGI:95622	Gene	GABRD
Gabrg2	MGI:95623	Gene	GABRG2
Gabrg3	MGI:95624	Gene	GABRG3
Gabrr1	MGI:95625	Gene	GABRR1
Gabrr2	MGI:95626	Gene	GABRR2
Slc6a1	MGI:95627	Gene	SLC6A1
Slc6a12	MGI:95628	Gene	SLC6A12
Slc6a13	MGI:95629	Gene	SLC6A13
